control_id,type,topic,clause,statement,doc_title,page,doc_id
QCB-Personal-Data-Privacy-P10-I7,SHALL,Security Controls,,"Developing internal systems to receive and investigate complaints, and data access and omission or correction reque sts; and they shall be made available to individuals.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,10,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P11-I1,SHALL,Security Controls,,"Article (13) Each of the Controller and the Processor shall take the precautions necessary to protect Personal Data against loss, damage, change, disclosure, access thereto, or the inadvertent or illegal use thereof.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,11,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P11-I2,SHALL,Data Protection,,Such precautions shall be commensurate with the nature and the importance of the Personal Data intended to be protected.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,11,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P11-I3,SHALL,Data Protection,,"The Processor shall forthwith notify the Controller of the existence of any breach of the precautions referred to, or where any risk arises threatening Personal Data in any way.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,11,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P11-I4,SHALL,Data Protection,,"Article (14) The Controller shall inform the Individual and Competent Department of the occurrence of any breach of the precautions provided for in the preceding Article, and if such breach may cause serious damage to Personal Data or individual privacy.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,11,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P11-I5,SHALL,General,,"Article (15) Taking into account the liabilities provided for hereto, the Controller shall be forbidden from taking any decision or measure that may limit the Cross-Border Data Flow, unless the processing of such data",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,11,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P12-I0,MAY,Data Protection,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa is in breach of this Law, or where such processing may cause serious damage to the Personal Data or to the Individual’s privacy.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,12,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P12-I1,SHALL,Data Protection,,"Chapter Four Personal Data with Special Nature Article (16) The Personal data, related to ethnic origin, children, health, physical or psychological condition, religious creeds, marital relations, and criminal offenses, shall be regarded as Personal data with special nature.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,12,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P12-I2,MAY,Data Protection,,"The Minister may add other types of Personal Data of a special nature, where the misuse or disclosure of the same may cause serious damage to Individual.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,12,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P12-I3,MAY,Data Protection,,"Personal Data of a special nature may only be processed after obtaining the permission from the Competent Department, as per the measures and controls determined by a decision issued by the Minister.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,12,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
