policy_name,control_id,control_statement,implementation_task,owner,status,evidence_link,source_doc_title,source_page,source_controls_file
Data handling and privacy policy,QCB-Data-Handling-P7-I1,5.7 A Financial Institution must establish consent procedures for customer data processing that aligns with processes and technologies utilized within the Financial Institution.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I2,5.8 A Financial Institution must define specific destruction guidelines for data and hardware that has reached the end of its retention period.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I3,"5.9 A Financial Institution must align its business continuity plans, disaster recovery plans and backup strategy with the requirements of this regulation and their data governance frameworks, policies, and procedu res.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I4,5.10 A Financial Institution must ensure it identifies risks associated with data privacy and the mitigating controls.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I5,"5.11 A Financial Institution must maintain a detailed inventory of all assets within its processing environment, including Third Party assets, mapped to its critical processes and services.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I7,"Data Classification Framework 6.1 A Financial Institution must develop and maintain a data classification policy based on industry leading practices, which includes Financial Institution-wide responsibilities for classifying data.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I8,6.2 A Financial Institution must develop and maintain a data handling guideline that details how to handle data of different classifications.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I9,A Financial Institution may utilize the National Cyber Security Agency’s National Data Classification Policy.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I10,"6.3 A Financial Institution must define the following for each classification level: classification definition, data examples, storage requirements, labelling requirements, cybersecurity controls, physical access controls, logical access controls, data masking requirements, transmission requirements and destruction mechanism.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I12,"1 A Financial Institution must conduct annual reviews of their ROPA, or conduct reviews that are triggered by changes to the Financial Institution.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I13,"These changes may include but are not limited to: organizational restructure, new regulatory requirements, changes to the da ta processing environment, etc.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I14,2 A Financial Institution may implement tools that automate updates to their ROPA.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I15,3 A Financial Institution must document and justify any data excluded from the ROPA and detail the associated risks.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P7-I16,6.5 A Financial Institution must conduct Data Mapping to outline all data assets and their flow across organizational processes.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,7,data_handling_and_protection_regulation_controls.json
